No.;Time;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
2078;28,756282;;28,756282;28,756282;0;;0;-0,000141;-0,000141
2079;28,756282;;28,756282;28,756282;0;;-0,000141;-0,001351;-0,00121
2080;28,756282;;28,756282;28,756423;0,000141;;-0,001351;0,001447;0,002798
2081;28,756423;;28,756423;28,757915;0,001492;;0,001447;-0,024972;-0,026419
2082;28,757915;;28,757915;28,75796;4,5E-05;;-0,024972;0,025017;0,049989
2083;28,75796;;28,75796;28,782977;0,025017;;0,025017;-0,005045;-0,030062
2084;28,782977;;28,782977;28,782977;0;;-0,005045;-1,132148;-1,127103
2085;28,782977;;28,782977;28,788022;0,005045;;-1,132148;1,137106;2,269254
2086;28,788022;;28,788022;29,925215;1,137193;;1,137106;-0,043037;-1,180143
2087;29,925215;;29,925215;29,925302;8,7E-05;;-0,043037;0,043124;0,086161
2088;29,925302;;29,925302;29,968426;0,043124;;0,043124;-0,047743;-0,090867
2089;29,968426;;29,968426;29,968426;0;;-0,047743;0,015658;0,063401
2090;29,968426;;29,968426;30,016169;0,047743;;0,015658;-7,509742;-7,5254
2091;30,016169;;30,016169;30,048254;0,032085;;-7,509742;7,517968;15,02771
2092;30,048254;;30,048254;37,590081;7,541827;;7,517968;0,023679;-7,494289
2155;37,590081;;37,590081;37,61394;0,023859;;0,023679;-0,000675;-0,024354
2164;37,61394;;37,61394;37,61412;0,00018;;-0,000675;0,000855;0,00153
2165;37,61412;;37,61412;37,614975;0,000855;;0,000855;-0,031715;-0,03257
2166;37,614975;;37,614975;37,614975;0;;-0,031715;0,031425;0,06314
2167;37,614975;;37,614975;37,64669;0,031715;;0,031425;-0,000429;-0,031854
2180;37,64669;;37,64669;37,64698;0,00029;;-0,000429;0,000719;0,001148
2181;37,64698;;37,64698;37,647699;0,000719;;0,000719;-5,8E-05;-0,000777
2182;37,647699;;37,647699;37,647699;0;;-5,8E-05;-0,009012;-0,008954
2183;37,647699;;37,647699;37,647757;5,8E-05;;-0,009012;0,00907;0,018082
2184;37,647757;;37,647757;37,656827;0,00907;;0,00907;0;-0,00907
2185;37,656827;;37,656827;37,656827;0;;0;-0,000126;-0,000126
2186;37,656827;;37,656827;37,656827;0;;-0,000126;-0,000426;-0,0003
2187;37,656827;;37,656827;37,656953;0,000126;;-0,000426;-0,029618;-0,029192
2189;37,656953;;37,656953;37,657505;0,000552;;-0,029618;-0,011847;0,017771
2190;37,657505;;37,657505;37,687675;0,03017;;-0,011847;-4,895085;-4,883238
2196;37,687675;;37,687675;37,729692;0,042017;;-4,895085;4,936701;9,831786
2197;37,729692;;37,729692;42,666794;4,937102;;4,936701;-0,035258;-4,971959
2223;42,666794;;42,666794;42,667195;0,000401;;-0,035258;0,035599;0,070857
2224;42,667195;;42,667195;42,702854;0,035659;;0,035599;-2,322231;-2,35783
2225;42,702854;;42,702854;42,702914;6E-05;;-2,322231;2,298383;4,620614
2226;42,702914;;42,702914;45,025205;2,322291;;2,298383;-0,519731;-2,818114
2228;45,025205;;45,025205;45,049113;0,023908;;-0,519731;0,509683;1,029414
2230;45,049113;;45,049113;45,592752;0,543639;;0,509683;-6,836815;-7,346498
2231;45,592752;;45,592752;45,626708;0,033956;;-6,836815;6,839258;13,676073
2232;45,626708;;45,626708;52,497479;6,870771;;6,839258;-0,557382;-7,39664
2239;52,497479;;52,497479;52,528992;0,031513;;-0,557382;0,561464;1,118846
2240;52,528992;;52,528992;53,117887;0,588895;;0,561464;-0,065059;-0,626523
2241;53,117887;;53,117887;53,145318;0,027431;;-0,065059;0,086789;0,151848
2242;53,145318;;53,145318;53,237808;0,09249;;0,086789;-0,007515;-0,094304
2243;53,237808;;53,237808;53,243509;0,005701;;-0,007515;-0,006812;0,000703
2244;53,243509;;53,243509;53,256725;0,013216;;-0,006812;0,020028;0,02684
2245;53,256725;;53,256725;53,276753;0,020028;;0,020028;-0,000226;-0,020254
2246;53,276753;;53,276753;53,276753;0;;-0,000226;-0,000318;-9,2E-05
2247;53,276753;;53,276753;53,276979;0,000226;;-0,000318;0,000305;0,000623
2248;53,276979;;53,276979;53,277523;0,000544;;0,000305;-0,03084;-0,031145
2249;53,277523;;53,277523;53,277762;0,000239;;-0,03084;0,022835;0,053675
2250;53,277762;;53,277762;53,308841;0,031079;;0,022835;0,008244;-0,014591
